QSO-J0844+0226,34.2,33.7,0.0,0.0,5.0,5.0,-13.0,-88.0,-24.982,-20.351,-0.74,-0.4,6.9,11.29,-,1.65
QSO-J0853+0139,36.7,35.1,0.0,0.0,5.0,5.0,1.0,7.0,-1.339,-37.958,-0.04,0.03,8.3,21.7,-,3.08
QSO-J0857+0056,36.5,36.1,-0.0,-0.0,5.0,5.0,7.0,43.0,15.59,-9.86,0.43,0.19,20.7,13.44,-,1.59
QSO-J0859+0022,34.8,34.2,-0.0,-0.0,5.0,5.0,4.0,22.0,40.813,-42.204,1.19,0.11,4.7,8.42,-,1.65
QSO-J0902+0155,33.3,34.1,-3.59,0.92,2.54,1.71,93.0,104.0,41.097,23.7,1.21,2.73,6.6,12.25,208.7,1.57
QSO-J0905+0300,33.0,32.6,-2.37,-1.1,2.15,1.44,89.0,85.0,63.255,-26.267,1.94,2.74,47.0,2.42,20.2,1.86
QSO-J0911+0152,32.9,32.6,-0.0,0.0,5.0,5.0,4.0,32.0,-7.277,-30.339,-0.22,0.13,35.3,14.52,36.8,2.94
QSO-J0935-0110,34.9,35.0,-2.12,-2.37,2.02,1.6,-97.0,-89.0,-61.389,15.448,-1.75,-2.78,23.4,3.97,62.8,2.18
QSO-J1030+0524,34.8,33.8,0.47,-3.0,3.09,1.17,-65.0,-63.0,-21.052,28.402,-0.62,-1.92,34.7,17.08,41.7,1.5
QSO-J1034-1425,38.0,37.8,0.1,-2.38,2.2,1.46,189.0,160.0,189.34031770344518,13.365,5.01,5.01,28.7,9.77,26.1,4.63
QSO-J1036-0232,41.8,41.4,-4.0,-0.61,5.22,2.45,43.0,128.0,18.194,0.721,0.44,1.03,16.5,21.93,31.3,1.75
QSO-J1048-0109,81.8,63.6,-0.0,0.0,5.0,5.0,5.0,10.0,27.748,6.526,0.44,0.07,11.4,14.07,313.0,3.57
QSO-J1048+4637,43.4,43.0,-0.0,0.0,5.0,5.0,4.0,24.0,70.025,87.415,1.63,0.1,7.8,7.18,165.3,1.48
QSO-J1110-1329,38.7,38.5,0.0,0.0,5.0,5.0,-7.0,-48.0,9.848,23.583,0.26,-0.18,24.6,13.59,52.2,1.56
QSO-J1120+0641,50.2,47.9,-0.0,0.0,5.0,5.0,7.0,45.0,24.238,-66.747,0.51,0.14,6.9,4.74,125.2,1.41
